id,standard_id,workstation_type,workstation_id,persons_required,units_per_hour,is_default,notes,created_at,updated_at
\N,53,"semi_automatic",\N,3,124,0,\N,"2026-04-09 20:05:00",\N
\N,54,"manual",\N,1,145,1,\N,"2026-04-09 20:05:00",\N
\N,54,"manual",\N,2,133,0,\N,"2026-04-09 20:05:00",\N
\N,54,"manual",\N,3,124,0,\N,"2026-04-09 20:05:00",\N
\N,59,"manual",\N,1,174,1,\N,"2026-04-09 20:05:00",\N
\N,59,"manual",\N,2,174,0,\N,"2026-04-09 20:05:00",\N
\N,60,"manual",\N,2,245,1,\N,"2026-04-09 20:05:00",\N
\N,61,"manual",\N,2,228,1,\N,"2026-04-09 20:05:00",\N
\N,62,"manual",\N,2,224,1,\N,"2026-04-09 20:05:00",\N
\N,63,"semi_automatic",\N,1,225,1,\N,"2026-04-09 20:05:00",\N
\N,63,"semi_automatic",\N,2,166,0,\N,"2026-04-09 20:05:00",\N
\N,64,"manual",\N,1,225,1,\N,"2026-04-09 20:05:00",\N
\N,64,"manual",\N,2,166,0,\N,"2026-04-09 20:05:00",\N
\N,65,"manual",\N,1,189,1,\N,"2026-04-09 20:05:00",\N
\N,65,"manual",\N,2,233,0,\N,"2026-04-09 20:05:00",\N
\N,66,"manual",\N,1,173,1,\N,"2026-04-09 20:05:00",\N
\N,66,"manual",\N,2,151,0,\N,"2026-04-09 20:05:00",\N
\N,67,"manual",\N,2,185,1,\N,"2026-04-09 20:05:00",\N
\N,70,"manual",\N,3,123,1,\N,"2026-04-09 20:05:00",\N
\N,71,"manual",\N,3,123,1,\N,"2026-04-09 20:05:00",\N
\N,73,"manual",\N,2,102,1,\N,"2026-04-09 20:05:00",\N
\N,80,"manual",\N,3,104,1,\N,"2026-04-09 20:05:00",\N
\N,82,"manual",\N,3,104,1,\N,"2026-04-09 20:05:00",\N
\N,90,"manual",\N,1,149,1,\N,"2026-04-09 20:05:00",\N
\N,90,"manual",\N,2,149,0,\N,"2026-04-09 20:05:00",\N
\N,92,"machine",\N,1,217,1,\N,"2026-04-09 20:05:00",\N
\N,92,"machine",\N,2,240,0,\N,"2026-04-09 20:05:00",\N
\N,93,"manual",\N,1,217,1,\N,"2026-04-09 20:05:00",\N
\N,93,"manual",\N,2,240,0,\N,"2026-04-09 20:05:00",\N
\N,94,"machine",\N,1,194,1,\N,"2026-04-09 20:05:00",\N
\N,94,"machine",\N,2,228,0,\N,"2026-04-09 20:05:00",\N
\N,95,"manual",\N,1,169,1,\N,"2026-04-09 20:05:00",\N
\N,95,"manual",\N,2,204,0,\N,"2026-04-09 20:05:00",\N
\N,95,"manual",\N,3,174,0,\N,"2026-04-09 20:05:00",\N
\N,97,"manual",\N,1,166,1,\N,"2026-04-09 20:05:00",\N
\N,97,"manual",\N,2,166,0,\N,"2026-04-09 20:05:00",\N
\N,98,"manual",\N,3,129,1,\N,"2026-04-09 20:05:00",\N
\N,101,"manual",\N,3,147,1,\N,"2026-04-09 20:05:00",\N
\N,102,"manual",\N,3,141,1,\N,"2026-04-09 20:05:00",\N
\N,103,"manual",\N,3,143,1,\N,"2026-04-09 20:05:00",\N
\N,104,"manual",\N,3,143,1,\N,"2026-04-09 20:05:00",\N
\N,105,"manual",\N,3,150,1,\N,"2026-04-09 20:05:00",\N
\N,106,"manual",\N,3,149,1,\N,"2026-04-09 20:05:00",\N
\N,107,"manual",\N,3,130,1,\N,"2026-04-09 20:05:00",\N
\N,108,"manual",\N,3,131,1,\N,"2026-04-09 20:05:00",\N
\N,109,"manual",\N,3,112,1,\N,"2026-04-09 20:05:00",\N
\N,110,"manual",\N,3,123,1,\N,"2026-04-09 20:05:00",\N
\N,112,"manual",\N,3,118,1,\N,"2026-04-09 20:05:00",\N
\N,113,"manual",\N,3,119,1,\N,"2026-04-09 20:05:00",\N
\N,114,"manual",\N,3,118,1,\N,"2026-04-09 20:05:00",\N
\N,115,"manual",\N,3,114,1,\N,"2026-04-09 20:05:00",\N
\N,116,"manual",\N,3,115,1,\N,"2026-04-09 20:05:00",\N
\N,117,"manual",\N,3,114,1,\N,"2026-04-09 20:05:00",\N
\N,118,"manual",\N,3,114,1,\N,"2026-04-09 20:05:00",\N
\N,119,"manual",\N,3,114,1,\N,"2026-04-09 20:05:00",\N
\N,120,"manual",\N,3,119,1,\N,"2026-04-09 20:05:00",\N
\N,121,"manual",\N,3,147,1,\N,"2026-04-09 20:05:00",\N
\N,122,"manual",\N,3,164,1,\N,"2026-04-09 20:05:00",\N
\N,123,"manual",\N,3,143,1,\N,"2026-04-09 20:05:00",\N
\N,125,"manual",\N,1,155,1,\N,"2026-04-09 20:05:00",\N
\N,125,"manual",\N,2,146,0,\N,"2026-04-09 20:05:00",\N
\N,126,"manual",\N,3,104,1,\N,"2026-04-09 20:05:00",\N
\N,127,"manual",\N,3,138,1,\N,"2026-04-09 20:05:00",\N
\N,128,"manual",\N,3,177,1,\N,"2026-04-09 20:05:00",\N
\N,129,"manual",\N,3,128,1,\N,"2026-04-09 20:05:00",\N
\N,130,"manual",\N,3,134,1,\N,"2026-04-09 20:05:00",\N
\N,131,"manual",\N,3,155,1,\N,"2026-04-09 20:05:00",\N
\N,132,"manual",\N,3,138,1,\N,"2026-04-09 20:05:00",\N
\N,134,"manual",\N,3,131,1,\N,"2026-04-09 20:05:00",\N
\N,135,"manual",\N,3,136,1,\N,"2026-04-09 20:05:00",\N
\N,138,"manual",\N,3,105,1,\N,"2026-04-09 20:05:00",\N
\N,140,"manual",\N,3,101,1,\N,"2026-04-09 20:05:00",\N
\N,141,"manual",\N,3,139,1,\N,"2026-04-09 20:05:00",\N
\N,142,"machine",\N,3,132,1,\N,"2026-04-09 20:05:00",\N
\N,143,"manual",\N,3,132,1,\N,"2026-04-09 20:05:00",\N
\N,146,"manual",\N,3,129,1,\N,"2026-04-09 20:05:00",\N
\N,147,"manual",\N,3,150,1,\N,"2026-04-09 20:05:00",\N
