id,part_id,sample_price,workstation_type,effective_date,active,comments,created_at,updated_at
,1,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,2,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,3,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,4,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,5,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,6,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,7,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,8,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,8,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,9,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,10,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,11,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,12,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,13,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,14,0.5,machine,2026-04-01,1,,"2026-04-09 20:05:00",
,15,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,16,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,17,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,18,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,19,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,20,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,21,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,21,0.5,machine,2026-04-01,1,,"2026-04-09 20:05:00",
,22,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,23,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,24,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,24,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,25,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,25,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,26,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,26,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,27,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,27,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,28,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,29,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,29,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,30,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,31,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,32,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,33,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,34,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,35,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,36,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,37,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,38,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,39,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,40,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,40,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,41,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,42,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,42,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,43,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,44,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,44,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,45,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,46,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,47,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,48,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,49,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,50,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,51,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,52,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,53,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,53,0.5,semi_automatic,2026-04-01,1,,"2026-04-09 20:05:00",
,54,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,55,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,56,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,57,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,58,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,59,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,60,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
