part_id,item_number,part_designator,description,workstation_type,units_per_hour_1p,units_per_hour_2p,units_per_hour_3p,match_type
211,189-10370,"H-MB-101T 10""","STS H-MB-101T 10"" LEAD",,,,129,prefix
387,189-10601,H-MB-1,"STS H-MB-1",,,,119,exact
388,189-10602,H-MB-2,"STS H-MB-2",,,,119,exact
389,189-10603,H-MB-3,"STS H-MB-3",,,,156,exact
393,189-10607,H-MB-7,"STS H-MB-7",,,,108,exact
394,189-10608,H-MB-8,"STS H-MB-8",,,,123,exact
395,189-10609,H-MB-9,"STS H-MB-9",,,,122,exact
89,189-10186,"H-MB-201N  10""","STS H-MB-201N 10"" LEAD",,,,147,prefix
,,"H-MB-201S 10""",,,,,141,no-match
90,189-10188,"H-MB-201T 10""","STS H-MB-201T 10"" LEAD",,,,141,prefix
91,189-10189,H-MB-206N,"STS H-MB-206N",,,,143,exact
92,189-10190,H-MB-206T,"STS H-MB-206T",,,,143,exact
75,189-10169,H-MB-301N,"STS H-MB-301N-BH",,400,,150,prefix-ambiguous
,,"H-MB-301S 10""",,,,,158,no-match
94,189-10194,"H-MB-301T 10""","STS H-MB-301T 10"" LEAD",,,,149,prefix
380,189-10592,H-MB-306N-A,"STS H-MB-306N-A",,,,131,exact
96,189-10197,H-MB-306T,"STS H-MB-306T",,,,131,exact
,,H-MB-401-N,,,,,112,no-match
230,189-10436,H-MB-401T,"STS H-MB-401T",,,,112,exact
381,189-10593,H-MB-406N-A,"STS H-MB-406N-A",,,,115,exact
100,189-10201,H-MB-501N,"STS H-MB-501N 10"" LEAD",,,,118,prefix
,,H-MB-501S,,,,,118,no-match
287,189-10498,H-MB-501T,"STS H-MB-501T",,,,118,exact
102,189-10204,H-MB-506T,"STS H-MB-506T",,,,118,exact
,,H-MB-506N-A,,,,,119,no-match
,,H-MBL-322-10,,,,,106,no-match
103,189-10206,H-ML-1,"STS H-ML-1",,,,114,exact
104,189-10207,H-ML-10,"STS H-ML-10",,,,115,exact
108,189-10211,H-ML-10-9,"STS H-ML-10-9",,,,119,exact
109,189-10213,H-ML-11,"STS H-ML-11",,,,147,exact
110,189-10216,H-ML-12,"STS H-ML-12",,,,164,exact
111,189-10218,H-ML-13,"STS H-ML-13   ",,600,,143,exact
113,189-10222,H-ML-14,"STS H-ML-14",,,155,146,exact
114,189-10223,H-ML-15,"STS H-ML-15",,,,104,exact
115,189-10224,H-ML-16,"STS H-ML-16",,,,138,exact
116,189-10225,H-ML-17,"STS H-ML-17",,,,177,exact
410,189-10626,H-ML-17-9,"STS H-ML-17-9",,,,161,exact
117,189-10226,H-ML-18,"STS H-ML-18 ",,781,,143,exact
118,189-10227,H-ML-19,"STS H-ML-19",,,,134,exact
119,189-10228,H-ML-2,"STS H-ML-2",,,,155,exact
120,189-10229,H-ML-20,"STS H-ML-20",,,,138,exact
122,189-10231,"H-ML-3 ( Mesa)","STS H-ML-3     ",,,,131,exact
122,189-10231,"H-ML-3  ( Maq)","STS H-ML-3     ",,781,722,,exact
123,189-10232,H-ML-3-0,"STS H-ML-3-0",,,,136,exact
308,189-10519,H-ML-3-5,"STS H-ML-3-5",,,,136,exact
126,189-10235,H-ML-4,"STS H-ML-4",,,,129,exact
128,189-10237,H-ML-5,"STS H-ML-5",,,,101,exact
129,189-10238,H-ML-6,"STS H-ML-6",,,,139,exact
130,189-10240,H-ML-7,"STS H-ML-7 ",,550,300,161,exact
135,189-10245,H-ML-7-5,"STS H-ML-7-5 ",,600,,161,exact
137,189-10248,H-ML-7-9,"STS H-ML-7-9",,,,161,exact
139,189-10251,H-ML-7-92,"STS H-ML-7-92",,,,144,exact
141,189-10253,H-ML-7-94,"STS H-ML-7-94",,,,144,exact
143,189-10255,H-ML-7-97,"STS H-ML-7-97",,,,161,exact
145,189-10257,H-ML-8,"STS H-ML-8    ",,600,,135,exact
146,189-10258,H-ML-8-3,"STS H-ML-8-3",,,143,135,exact
148,189-10260,H-ML-8-5,"STS H-ML-8-5",,,,135,exact
149,189-10261,H-ML-8-6,"STS H-ML-8-6",,,,146,exact
150,189-10262,H-ML-8-9,"STS H-ML-8-9",,,,135,exact
153,189-10265,H-ML-8-93,"STS H-ML-8-93",,,,155,exact
154,189-10266,H-ML-8-94,"STS H-ML-8-94",,,,155,exact
418,189-10634,H-ML-8-93-01,"STS H-ML-8-93-01",,,,155,exact
157,189-10270,H-ML-9,"STS H-ML-9",,,139,105,exact
158,189-10271,H-ML-9-5,"STS H-ML-9-5",,,,105,exact
160,189-10274,L-C-1,"STS L-C-1",,300,204,,exact
162,189-10277,L-C-112-01,"STS L-C-112-01",,195,,,exact
165,189-10283,L-C-2-1,"STS L-C-2-1",,,251,,exact
164,189-10282,"L-C-2 MESA","STS L-C-2  ",table,173,208,164,exact
164,189-10282,"L-C-2 MAQ","STS L-C-2  ",machine,1100,,,exact
170,189-10289,"L-C-3 MESA","STS L-C-3  ",table,,228,,exact
170,189-10289,"L-C-3  MAQ","STS L-C-3  ",machine,2300,,,exact
173,189-10292,L-C-4,"STS L-C-4",,229,219,,exact
175,189-10295,L-C-5,"STS L-C-5",,375,204,179,exact
179,189-10299,L-C-6,"STS L-C-6",,,150,,exact
181,189-10301,L-C-7,"STS L-C-7",,,116,,exact
185,189-10315,L-CL-4,"STS L-CL-4",,,,112,exact
330,189-10542,L-CL-5.5-02,"STS L-CL-5.5-02",,,,81,exact
