id,part_id,units_per_hour,work_table_id,semi_auto_work_table_id,machine_id,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
,50,245,,,,,2,,1,0,"STS H-HC-2",,"2026-04-09 20:05:00",
,51,228,,,,,2,,1,0,"STS H-HC-3",,"2026-04-09 20:05:00",
,52,224,,,,,2,,1,0,"STS H-HC-4",,"2026-04-09 20:05:00",
,53,225,,,,1,,,1,0,"STS H-HC-5",,"2026-04-09 20:05:00",
,53,166,,,,,2,,1,0,"STS H-HC-5",,"2026-04-09 20:05:00",
,54,189,,,,1,,,1,0,"STS H-I-1",,"2026-04-09 20:05:00",
,54,233,,,,,2,,1,0,"STS H-I-1",,"2026-04-09 20:05:00",
,55,173,,,,1,,,1,0,"STS H-I-2",,"2026-04-09 20:05:00",
,55,151,,,,,2,,1,0,"STS H-I-2",,"2026-04-09 20:05:00",
,56,185,,,,,2,,1,0,"STS H-I-3",,"2026-04-09 20:05:00",
,57,0,,,,,,,1,0,"STS H-I-4",,"2026-04-09 20:05:00",
,58,0,,,,,,,1,0,"STS H-I-5",,"2026-04-09 20:05:00",
,59,123,,,,,,3,1,0,"STS H-IB-250-B5B",,"2026-04-09 20:05:00",
,60,123,,,,,,3,1,0,"STS H-IB-350-B6B",,"2026-04-09 20:05:00",
,61,0,,,,,,,1,0,"STS H-ID-41",,"2026-04-09 20:05:00",
,62,102,,,,,2,,1,0,"STS H-ID-43",,"2026-04-09 20:05:00",
,63,0,,,,,,,1,0,"STS H-ID-47",,"2026-04-09 20:05:00",
,64,0,,,,,,,1,0,"STS H-ID-48",,"2026-04-09 20:05:00",
,65,0,,,,,,,1,0,"STS H-IL-250-A50",,"2026-04-09 20:05:00",
,66,0,,,,,,,1,0,"STS H-IL-250-A53",,"2026-04-09 20:05:00",
,67,0,,,,,,,1,0,"STS H-IL-250-A54",,"2026-04-09 20:05:00",
,68,0,,,,,,,1,0,"STS H-IL-250-C50",,"2026-04-09 20:05:00",
,69,104,,,,,,3,1,0,"STS H-IL-350-A60",,"2026-04-09 20:05:00",
,70,0,,,,,,,1,0,"STS H-IL-350-A61",,"2026-04-09 20:05:00",
