1	189-10004
2	189-10005
3	189-10006
4	189-10009
5	189-10010
6	189-10011
7	189-10012
8	189-10044
9	189-10046
10	189-10048
11	189-10049
12	189-10050
13	189-10054
14	189-10056
15	189-10057
16	189-10058
17	189-10059
18	189-10061
19	189-10062
20	189-10063
21	189-10064
22	189-10067
23	189-10068
24	189-10069
25	189-10071
26	189-10072
27	189-10073
28	189-10074
29	189-10076
30	189-10078
31	189-10079
32	189-10080
33	189-10081
34	189-10082
35	189-10083
36	189-10084
37	189-10085
38	189-10086
39	189-10087
40	189-10088
41	189-10089
42	189-10090
43	189-10091
44	189-10092
45	189-10120
46	189-10129
47	189-10130
48	189-10136
49	189-10138
50	189-10139
51	189-10140
52	189-10141
53	189-10142
54	189-10143
55	189-10144
56	189-10145
57	189-10146
58	189-10147
59	189-10150
60	189-10151
61	189-10152
62	189-10154
63	189-10155
64	189-10156
65	189-10158
66	189-10160
67	189-10161
68	189-10162
69	189-10163
70	189-10164
71	189-10165
72	189-10166
73	189-10167
74	189-10168
75	189-10169
76	189-10170
77	189-10172
78	189-10173
79	189-10176
80	189-10177
81	189-10178
82	189-10179
83	189-10180
84	189-10181
85	189-10182
86	189-10183
87	189-10184
88	189-10185
89	189-10186
90	189-10188
91	189-10189
92	189-10190
93	189-10191
94	189-10194
95	189-10196
96	189-10197
97	189-10198
98	189-10199
99	189-10200
100	189-10201
101	189-10203
102	189-10204
103	189-10206
104	189-10207
105	189-10208
106	189-10209
107	189-10210
108	189-10211
109	189-10213
110	189-10216
111	189-10218
112	189-10219
113	189-10222
114	189-10223
115	189-10224
116	189-10225
117	189-10226
118	189-10227
119	189-10228
120	189-10229
121	189-10230
122	189-10231
123	189-10232
124	189-10233
125	189-10234
126	189-10235
127	189-10236
128	189-10237
129	189-10238
130	189-10240
131	189-10241
132	189-10242
133	189-10243
134	189-10244
135	189-10245
136	189-10246
137	189-10248
138	189-10250
139	189-10251
140	189-10252
141	189-10253
142	189-10254
143	189-10255
144	189-10256
145	189-10257
146	189-10258
147	189-10259
148	189-10260
149	189-10261
150	189-10262
151	189-10263
152	189-10264
153	189-10265
154	189-10266
155	189-10267
156	189-10269
157	189-10270
158	189-10271
159	189-10273
160	189-10274
161	189-10276
162	189-10277
163	189-10281
164	189-10282
165	189-10283
166	189-10284
167	189-10285
168	189-10286
169	189-10287
170	189-10289
171	189-10290
172	189-10291
173	189-10292
174	189-10293
175	189-10295
176	189-10296
177	189-10297
178	189-10298
179	189-10299
180	189-10300
181	189-10301
182	189-10302
183	189-10310
184	189-10312
185	189-10315
186	189-10316
187	189-10318
188	189-10319
189	189-10322
190	189-10323
191	189-10324
192	189-10325
193	189-10326
194	189-10327
195	189-10330
196	189-10333
197	189-10334
198	189-10339
199	189-10340
200	189-10341
201	189-10342
202	189-10343
203	189-10344
204	189-10347
205	189-10350
206	189-10351
207	189-10358
208	189-10359
209	189-10360
210	189-10368
211	189-10370
212	189-10375
213	189-10376
214	189-10379
215	189-10383
216	189-10387
217	189-10388
218	189-10403
219	189-10408
220	189-10410
221	189-10412
222	189-10413
223	189-10416
224	189-10422
225	189-10427
226	189-10428
227	189-10433
228	189-10434
229	189-10435
230	189-10436
231	189-10437
232	189-10438
233	189-10439
234	189-10440
235	189-10441
236	189-10442
237	189-10443
238	189-10444
239	189-10445
240	189-10446
241	189-10447
242	189-10448
243	189-10449
244	189-10450
245	189-10451
246	189-10452
247	189-10453
248	189-10454
249	189-10455
250	189-10456
251	189-10457
252	189-10458
253	189-10459
254	189-10460
255	189-10461
256	189-10462
257	189-10463
258	189-10464
259	189-10465
260	189-10466
261	189-10467
262	189-10468
263	189-10469
264	189-10470
265	189-10471
266	189-10472
267	189-10473
268	189-10474
269	189-10475
270	189-10476
271	189-10478
272	189-10479
273	189-10480
274	189-10481
275	189-10483
276	189-10485
277	189-10486
278	189-10487
279	189-10490
280	189-10491
281	189-10492
282	189-10493
283	189-10494
284	189-10495
285	189-10496
286	189-10497
287	189-10498
288	189-10499
289	189-10500
290	189-10501
291	189-10502
292	189-10503
293	189-10504
294	189-10505
295	189-10506
296	189-10507
297	189-10508
298	189-10509
299	189-10510
300	189-10511
301	189-10512
302	189-10513
303	189-10514
304	189-10515
305	189-10516
306	189-10517
307	189-10518
308	189-10519
309	189-10520
310	189-10521
311	189-10522
312	189-10523
313	189-10524
314	189-10525
315	189-10526
316	189-10527
317	189-10528
318	189-10530
319	189-10531
320	189-10532
321	189-10533
322	189-10534
323	189-10535
324	189-10536
325	189-10537
326	189-10538
327	189-10539
328	189-10540
329	189-10541
330	189-10542
331	189-10543
332	189-10544
333	189-10545
334	189-10546
335	189-10547
336	189-10548
337	189-10549
338	189-10550
339	189-10551
340	189-10552
341	189-10553
342	189-10554
343	189-10555
344	189-10556
345	189-10557
346	189-10558
347	189-10559
348	189-10560
349	189-10561
350	189-10562
351	189-10563
352	189-10564
353	189-10565
354	189-10566
355	189-10567
356	189-10568
357	189-10569
358	189-10570
359	189-10571
360	189-10572
361	189-10573
362	189-10574
363	189-10575
364	189-10576
365	189-10577
366	189-10578
367	189-10579
368	189-10580
369	189-10581
370	189-10582
371	189-10583
372	189-10584
373	189-10585
374	189-10586
375	189-10587
376	189-10588
377	189-10589
378	189-10590
379	189-10591
380	189-10592
381	189-10593
382	189-10594
383	189-10596
384	189-10597
385	189-10598
386	189-10600
387	189-10601
388	189-10602
389	189-10603
390	189-10604
391	189-10605
392	189-10606
393	189-10607
394	189-10608
395	189-10609
396	189-10610
397	189-10611
398	189-10612
399	189-10613
400	189-10615
401	189-10616
402	189-10617
403	189-10618
404	189-10619
405	189-10620
406	189-10622
407	189-10623
408	189-10624
409	189-10625
410	189-10626
411	189-10627
412	189-10628
413	189-10629
414	189-10630
415	189-10631
416	189-10632
417	189-10633
418	189-10634
419	189-10635
420	189-10636
421	189-10637
422	189-10638
423	189-10639
424	189-10642
425	189-10647
426	189-10652
427	189-10658
428	189-10659
429	189-10660
430	189-10662
431	189-10663
