"","32","200",NULL,NULL,NULL,"","2","","1","0","STS H-C4-7",NULL,"2026-04-09 20:05:00",NULL
"","33","208",NULL,NULL,NULL,"","2","","1","0","STS H-C4-8",NULL,"2026-04-09 20:05:00",NULL
"","34","203",NULL,NULL,NULL,"","2","","1","0","STS H-C-5",NULL,"2026-04-09 20:05:00",NULL
"","34","187",NULL,NULL,NULL,"","","3","1","0","STS H-C-5",NULL,"2026-04-09 20:05:00",NULL
"","35","188",NULL,NULL,NULL,"1","","","1","0","STS H-C5-20",NULL,"2026-04-09 20:05:00",NULL
"","35","181",NULL,NULL,NULL,"","2","","1","0","STS H-C5-20",NULL,"2026-04-09 20:05:00",NULL
"","36","181",NULL,NULL,NULL,"","2","","1","0","STS H-C5-21",NULL,"2026-04-09 20:05:00",NULL
"","37","105",NULL,NULL,NULL,"1","","","1","0","STS H-C5-22",NULL,"2026-04-09 20:05:00",NULL
"","37","125",NULL,NULL,NULL,"","2","","1","0","STS H-C5-22",NULL,"2026-04-09 20:05:00",NULL
"","38","204",NULL,NULL,NULL,"","2","","1","0","STS H-C5-5",NULL,"2026-04-09 20:05:00",NULL
"","39","208",NULL,NULL,NULL,"","2","","1","0","STS H-C5-6",NULL,"2026-04-09 20:05:00",NULL
"","40","228",NULL,NULL,NULL,"","2","","1","0","STS H-C5-7",NULL,"2026-04-09 20:05:00",NULL
"","41","186",NULL,NULL,NULL,"1","","","1","0","STS H-C5-8",NULL,"2026-04-09 20:05:00",NULL
"","41","204",NULL,NULL,NULL,"","2","","1","0","STS H-C5-8",NULL,"2026-04-09 20:05:00",NULL
"","42","142",NULL,NULL,NULL,"","2","","1","0","STS H-C-6",NULL,"2026-04-09 20:05:00",NULL
"","43","0",NULL,NULL,NULL,"","","","1","0","STS H-C-607-10",NULL,"2026-04-09 20:05:00",NULL
"","44","145",NULL,NULL,NULL,"1","","","1","0","STS H-C-7",NULL,"2026-04-09 20:05:00",NULL
"","44","133",NULL,NULL,NULL,"","2","","1","0","STS H-C-7",NULL,"2026-04-09 20:05:00",NULL
"","44","124",NULL,NULL,NULL,"","","3","1","0","STS H-C-7",NULL,"2026-04-09 20:05:00",NULL
"","45","0",NULL,NULL,NULL,"","","","1","0","STS H-CL4-4-1",NULL,"2026-04-09 20:05:00",NULL
"","46","0",NULL,NULL,NULL,"","","","1","0","STS H-CL-6-11-3",NULL,"2026-04-09 20:05:00",NULL
"","47","0",NULL,NULL,NULL,"","","","1","0","STS H-CL-6-11-4",NULL,"2026-04-09 20:05:00",NULL
