"id","part_id","units_per_hour","work_table_id","semi_auto_work_table_id","machine_id","persons_1","persons_2","persons_3","active","is_migrated","description","deleted_at","created_at","updated_at"
"","51","2500",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-HC-3","","2026-04-09 20:05:00",""
"","51","149",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-HC-3","","2026-04-09 20:05:00",""
"","53","225",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-HC-5","","2026-04-09 20:05:00",""
"","53","149",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-HC-5","","2026-04-09 20:05:00",""
"","357","135",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-HCB-106N-96","","2026-04-09 20:05:00",""
"","358","150",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-HCB-206N-96","","2026-04-09 20:05:00",""
"","359","195",NULL,NULL,NULL,"","2","3","1","0","Standard mesa manual STS H-HCB-306N-96","","2026-04-09 20:05:00",""
"","374","125",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-HCB-506N-96","","2026-04-09 20:05:00",""
"","370","161",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-HCL-7-96","","2026-04-09 20:05:00",""
"","371","135",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-HCL-8-96","","2026-04-09 20:05:00",""
"","362","125",NULL,NULL,NULL,"","2","3","1","0","Standard mesa manual STS H-HML-18-90","","2026-04-09 20:05:00",""
"","299","128",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-HML-6-95","","2026-04-09 20:05:00",""
"","303","154",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-HML-7-95","","2026-04-09 20:05:00",""
"","311","781",NULL,NULL,NULL,"1","","3","1","0","Standard mesa manual STS H-HML-8-95","","2026-04-09 20:05:00",""
"","302","115",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-HML-9-95","","2026-04-09 20:05:00",""
"","54","189",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-I-1","","2026-04-09 20:05:00",""
"","55","173",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-I-2","","2026-04-09 20:05:00",""
"","56","185",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-I-3","","2026-04-09 20:05:00",""
"","60","123",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-IB-350-B6B","","2026-04-09 20:05:00",""
"","62","102",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-ID-43","","2026-04-09 20:05:00",""
"","79","256",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-M-1","","2026-04-09 20:05:00",""
"","324","141",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-M-1-05","","2026-04-09 20:05:00",""
"","81","217",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-M-2","","2026-04-09 20:05:00",""
"","81","1100",NULL,NULL,NULL,"1","","","1","0","Standard maquina STS H-M-2","","2026-04-09 20:05:00",""
"","325","161",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-M-2-05","","2026-04-09 20:05:00",""
"","82","194",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-M-3","","2026-04-09 20:05:00",""
"","82","2500",NULL,NULL,NULL,"1","","","1","0","Standard maquina STS H-M-3","","2026-04-09 20:05:00",""
"","326","2500",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-M-3-05","","2026-04-09 20:05:00",""
"","83","169",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS H-M-4","","2026-04-09 20:05:00",""
"","327","171",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS H-M-4-05","","2026-04-09 20:05:00",""
"","85","166",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS H-M-5","","2026-04-09 20:05:00",""
"","396","132",NULL,NULL,NULL,"","2","3","1","0","Standard mesa manual STS H-MB-10","","2026-04-09 20:05:00",""
"","86","129",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-101N 10""","","2026-04-09 20:05:00",""
"","211","129",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-101T 10"" LEAD","","2026-04-09 20:05:00",""
"","387","119",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-1","","2026-04-09 20:05:00",""
"","388","119",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-2","","2026-04-09 20:05:00",""
"","389","156",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-3","","2026-04-09 20:05:00",""
"","393","108",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-7","","2026-04-09 20:05:00",""
"","394","123",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-8","","2026-04-09 20:05:00",""
"","395","122",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-9","","2026-04-09 20:05:00",""
"","89","147",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-201N 10"" LEAD","","2026-04-09 20:05:00",""
"","90","141",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-201T 10"" LEAD","","2026-04-09 20:05:00",""
"","91","143",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-206N","","2026-04-09 20:05:00",""
"","92","143",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-206T","","2026-04-09 20:05:00",""
"","93","400",NULL,NULL,NULL,"1","","3","1","0","Standard mesa manual STS H-MB-301N 10"" LEAD","","2026-04-09 20:05:00",""
"","94","149",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-301T 10"" LEAD","","2026-04-09 20:05:00",""
"","380","131",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-306N-A","","2026-04-09 20:05:00",""
"","96","131",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-306T","","2026-04-09 20:05:00",""
"","97","112",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-401N 10""","","2026-04-09 20:05:00",""
"","230","112",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-401T","","2026-04-09 20:05:00",""
"","381","115",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-406N-A","","2026-04-09 20:05:00",""
"","100","118",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-501N 10"" LEAD","","2026-04-09 20:05:00",""
"","287","118",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-501T","","2026-04-09 20:05:00",""
"","102","118",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-MB-506T","","2026-04-09 20:05:00",""
"","412","106",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-BML-322-10","","2026-04-09 20:05:00",""
"","103","114",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-1","","2026-04-09 20:05:00",""
"","104","115",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-10","","2026-04-09 20:05:00",""
"","108","119",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-10-9","","2026-04-09 20:05:00",""
"","109","147",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-11","","2026-04-09 20:05:00",""
"","110","164",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-12","","2026-04-09 20:05:00",""
"","111","600",NULL,NULL,NULL,"1","","3","1","0","Standard mesa manual STS H-ML-13","","2026-04-09 20:05:00",""
"","113","155",NULL,NULL,NULL,"","2","3","1","0","Standard mesa manual STS H-ML-14","","2026-04-09 20:05:00",""
"","114","104",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-15","","2026-04-09 20:05:00",""
"","115","138",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-16","","2026-04-09 20:05:00",""
"","116","177",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-17","","2026-04-09 20:05:00",""
"","410","161",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-17-9","","2026-04-09 20:05:00",""
"","117","781",NULL,NULL,NULL,"1","","3","1","0","Standard mesa manual STS H-ML-18","","2026-04-09 20:05:00",""
"","118","134",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-19","","2026-04-09 20:05:00",""
"","119","155",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-2","","2026-04-09 20:05:00",""
"","120","138",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-20","","2026-04-09 20:05:00",""
"","122","131",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-3","","2026-04-09 20:05:00",""
"","122","781",NULL,NULL,NULL,"1","2","","1","0","Standard maquina STS H-ML-3","","2026-04-09 20:05:00",""
"","123","136",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-3-0","","2026-04-09 20:05:00",""
"","308","136",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-3-5","","2026-04-09 20:05:00",""
"","126","129",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-4","","2026-04-09 20:05:00",""
"","128","101",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-5","","2026-04-09 20:05:00",""
"","129","139",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-6","","2026-04-09 20:05:00",""
"","130","550",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS H-ML-7","","2026-04-09 20:05:00",""
"","135","600",NULL,NULL,NULL,"1","","3","1","0","Standard mesa manual STS H-ML-7-5","","2026-04-09 20:05:00",""
"","137","161",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-7-9","","2026-04-09 20:05:00",""
"","139","144",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-7-92","","2026-04-09 20:05:00",""
"","141","144",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-7-94","","2026-04-09 20:05:00",""
"","143","161",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-7-97","","2026-04-09 20:05:00",""
"","145","600",NULL,NULL,NULL,"1","","3","1","0","Standard mesa manual STS H-ML-8","","2026-04-09 20:05:00",""
"","146","143",NULL,NULL,NULL,"","2","3","1","0","Standard mesa manual STS H-ML-8-3","","2026-04-09 20:05:00",""
"","148","135",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-8-5","","2026-04-09 20:05:00",""
"","149","146",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-8-6","","2026-04-09 20:05:00",""
"","150","135",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-8-9","","2026-04-09 20:05:00",""
"","153","155",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-8-93","","2026-04-09 20:05:00",""
"","154","155",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-8-94","","2026-04-09 20:05:00",""
