part_id,Temporal,Temporal 2,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description
OBLIGATORIO - ID de la parte en tabla parts,Descripcion,Descripcion sin STS,OPCIONAL - ID de mesa manual en tabla tables (dejar vacio si no aplica) - Solo uno de los tres IDs debe estar poblado,OPCIONAL - ID de mesa semi-automatica en tabla semi__automatics (nota: doble guion bajo en nombre de tabla) (dejar vacio si no aplica),OPCIONAL - ID de maquina en tabla machines (dejar vacio si no aplica),OBLIGATORIO - Entero >= 1 - Unidades producidas por hora,OPCIONAL - Numero de personas en configuracion 1 (ej: 1),OPCIONAL - Numero de personas en configuracion 2 (ej: 2) - dejar vacio si no aplica,OPCIONAL - Numero de personas en configuracion 3 (ej: 3) - dejar vacio si no aplica,OPCIONAL - 1=activo 0=inactivo - Default: 1,OPCIONAL - 0=importacion masiva legacy 1=usa standard_configurations - Default: 0 para importacion masiva,OPCIONAL - Descripcion o referencia del standard
189-10139,STS H-HC-2,H-HC-2,,,,245,,2,,1,0,
189-10139,STS H-HC-2,H-HC-2,,,,245,,2,,1,0,
189-10140,STS H-HC-3,H-HC-3,,,,228,,2,,1,0,
189-10141,STS H-HC-4,H-HC-4,,,,224,,2,,1,0,
189-10142,STS H-HC-5,H-HC-5,,,,225,1,,,1,0,
189-10142,STS H-HC-5,H-HC-5,,,,166,,2,,1,0,
189-10143,STS H-I-1,H-I-1,,,,189,1,,,1,0,
189-10143,STS H-I-1,H-I-1,,,,233,,2,,1,0,
189-10144,STS H-I-2,H-I-2,,,,173,1,,,1,0,
189-10144,STS H-I-2,H-I-2,,,,151,,2,,1,0,
189-10145,STS H-I-3,H-I-3,,,,185,,2,,1,0,
189-10146,STS H-I-4,H-I-4,,,,Pend,,,,1,0,
189-10147,STS H-I-5,H-I-5,,,,Pend,,,,1,0,
189-10150,STS H-IB-250-B5B,H-IB-250-B5B,,,,123,,,3,1,0,
189-10151,STS H-IB-350-B6B,H-IB-350-B6B,,,,123,,,3,1,0,
189-10152,STS H-ID-41,H-ID-41,,,,Pend,,,,1,0,
189-10154,STS H-ID-43,H-ID-43,,,,102,,2,,1,0,
189-10155,STS H-ID-47,H-ID-47,,,,Pend,,,,1,0,
189-10156,STS H-ID-48,H-ID-48,,,,Pend,,,,1,0,
189-10158,STS H-IL-250-A50,H-IL-250-A50,,,,Pend,,,,1,0,
189-10160,STS H-IL-250-A53,H-IL-250-A53,,,,Pend,,,,1,0,
189-10161,STS H-IL-250-A54,H-IL-250-A54,,,,Pend,,,,1,0,
189-10162,STS H-IL-250-C50,H-IL-250-C50,,,,Pend,,,,1,0,
189-10163,STS H-IL-350-A60,H-IL-350-A60,,,,104,,,3,1,0,
189-10164,STS H-IL-350-A61,H-IL-350-A61,,,,Pend,,,,1,0,
189-10165,STS H-IL-350-A62,H-IL-350-A62,,,,104,,,3,1,0,
189-10166,STS H-IL-350-A63,H-IL-350-A63,,,,Pend,,,,1,0,
189-10167,STS H-IL-350-A64,H-IL-350-A64,,,,Pend,,,,1,0,
189-10168,STS H-IL-350-A65,H-IL-350-A65,,,,Pend,,,,1,0,
189-10169,STS H-MB-301N-BH,H-MB-301N-BH,,,,Pend,,,,1,0,
189-10170,STS H-IL-350-C60,H-IL-350-C60,,,,Pend,,,,1,0,
189-10172,STS H-IL-550-A70,H-IL-550-A70,,,,Pend,,,,1,0,
189-10173,STS H-IL-550-A71,H-IL-550-A71,,,,Pend,,,,1,0,
189-10176,STS H-M-1,H-M-1,,,,149,1,,,1,0,
189-10176,STS H-M-1,H-M-1,,,,149,,2,,1,0,
189-10177,STS H-M-1-C2,H-M-1-C2,,,,Pend,,,,1,0,
189-10178,STS H-M-2  ,H-M-2  ,,,,217,1,,,1,0,
189-10178,STS H-M-2  ,H-M-2  ,,,,240,,2,,1,0,
189-10179,STS H-M-3 ,H-M-3 ,,,,194,1,,,1,0,
189-10179,STS H-M-3 ,H-M-3 ,,,,228,,2,,1,0,
189-10180,STS H-M-4,H-M-4,,,,169,1,,,1,0,
189-10180,STS H-M-4,H-M-4,,,,204,,2,,1,0,
189-10180,STS H-M-4,H-M-4,,,,174,,,3,1,0,
