"id","standard_id","workstation_type","workstation_id","persons_required","units_per_hour","is_default","notes","created_at","updated_at"
"","62","manual",NULL,"3","128","1","","2026-04-09 20:05:00",""
"","63","manual",NULL,"3","154","1","","2026-04-09 20:05:00",""
"","64","manual",NULL,"1","781","1","","2026-04-09 20:05:00",""
"","64","manual",NULL,"3","131","0","","2026-04-09 20:05:00",""
"","65","manual",NULL,"3","115","1","","2026-04-09 20:05:00",""
"","66","manual",NULL,"1","189","1","","2026-04-09 20:05:00",""
"","66","manual",NULL,"2","233","0","","2026-04-09 20:05:00",""
"","67","manual",NULL,"1","173","1","","2026-04-09 20:05:00",""
"","67","manual",NULL,"2","151","0","","2026-04-09 20:05:00",""
"","68","manual",NULL,"2","185","1","","2026-04-09 20:05:00",""
"","69","manual",NULL,"3","123","1","","2026-04-09 20:05:00",""
"","70","manual",NULL,"2","102","1","","2026-04-09 20:05:00",""
"","71","manual",NULL,"1","256","1","","2026-04-09 20:05:00",""
"","71","manual",NULL,"2","229","0","","2026-04-09 20:05:00",""
"","72","manual",NULL,"1","141","1","","2026-04-09 20:05:00",""
"","72","manual",NULL,"2","200","0","","2026-04-09 20:05:00",""
"","73","manual",NULL,"1","217","1","","2026-04-09 20:05:00",""
"","73","manual",NULL,"2","240","0","","2026-04-09 20:05:00",""
"","74","machine",NULL,"1","1100","1","","2026-04-09 20:05:00",""
"","75","manual",NULL,"2","161","1","","2026-04-09 20:05:00",""
"","76","manual",NULL,"1","194","1","","2026-04-09 20:05:00",""
"","76","manual",NULL,"2","228","0","","2026-04-09 20:05:00",""
"","77","machine",NULL,"1","2500","1","","2026-04-09 20:05:00",""
"","78","manual",NULL,"1","2500","1","","2026-04-09 20:05:00",""
"","78","manual",NULL,"2","154","0","","2026-04-09 20:05:00",""
"","79","manual",NULL,"1","169","1","","2026-04-09 20:05:00",""
"","79","manual",NULL,"2","204","0","","2026-04-09 20:05:00",""
"","79","manual",NULL,"3","174","0","","2026-04-09 20:05:00",""
"","80","manual",NULL,"2","171","1","","2026-04-09 20:05:00",""
"","81","manual",NULL,"1","166","1","","2026-04-09 20:05:00",""
"","81","manual",NULL,"2","166","0","","2026-04-09 20:05:00",""
"","82","manual",NULL,"2","132","1","","2026-04-09 20:05:00",""
"","82","manual",NULL,"3","119","0","","2026-04-09 20:05:00",""
"","83","manual",NULL,"3","129","1","","2026-04-09 20:05:00",""
"","84","manual",NULL,"3","129","1","","2026-04-09 20:05:00",""
"","85","manual",NULL,"3","119","1","","2026-04-09 20:05:00",""
"","86","manual",NULL,"3","119","1","","2026-04-09 20:05:00",""
"","87","manual",NULL,"3","156","1","","2026-04-09 20:05:00",""
"","88","manual",NULL,"3","108","1","","2026-04-09 20:05:00",""
"","89","manual",NULL,"3","123","1","","2026-04-09 20:05:00",""
"","90","manual",NULL,"3","122","1","","2026-04-09 20:05:00",""
"","91","manual",NULL,"3","147","1","","2026-04-09 20:05:00",""
"","92","manual",NULL,"3","141","1","","2026-04-09 20:05:00",""
"","93","manual",NULL,"3","143","1","","2026-04-09 20:05:00",""
"","94","manual",NULL,"3","143","1","","2026-04-09 20:05:00",""
"","95","manual",NULL,"1","400","1","","2026-04-09 20:05:00",""
"","95","manual",NULL,"3","150","0","","2026-04-09 20:05:00",""
"","96","manual",NULL,"3","149","1","","2026-04-09 20:05:00",""
"","97","manual",NULL,"3","131","1","","2026-04-09 20:05:00",""
"","98","manual",NULL,"3","131","1","","2026-04-09 20:05:00",""
"","99","manual",NULL,"3","112","1","","2026-04-09 20:05:00",""
"","100","manual",NULL,"3","112","1","","2026-04-09 20:05:00",""
"","101","manual",NULL,"3","115","1","","2026-04-09 20:05:00",""
"","102","manual",NULL,"3","118","1","","2026-04-09 20:05:00",""
"","103","manual",NULL,"3","118","1","","2026-04-09 20:05:00",""
"","104","manual",NULL,"3","118","1","","2026-04-09 20:05:00",""
"","105","manual",NULL,"3","106","1","","2026-04-09 20:05:00",""
"","106","manual",NULL,"3","114","1","","2026-04-09 20:05:00",""
"","107","manual",NULL,"3","115","1","","2026-04-09 20:05:00",""
"","108","manual",NULL,"3","119","1","","2026-04-09 20:05:00",""
"","109","manual",NULL,"3","147","1","","2026-04-09 20:05:00",""
"","110","manual",NULL,"3","164","1","","2026-04-09 20:05:00",""
"","111","manual",NULL,"1","600","1","","2026-04-09 20:05:00",""
"","111","manual",NULL,"3","143","0","","2026-04-09 20:05:00",""
"","112","manual",NULL,"2","155","1","","2026-04-09 20:05:00",""
"","112","manual",NULL,"3","146","0","","2026-04-09 20:05:00",""
"","113","manual",NULL,"3","104","1","","2026-04-09 20:05:00",""
"","114","manual",NULL,"3","138","1","","2026-04-09 20:05:00",""
"","115","manual",NULL,"3","177","1","","2026-04-09 20:05:00",""
"","116","manual",NULL,"3","161","1","","2026-04-09 20:05:00",""
"","117","manual",NULL,"1","781","1","","2026-04-09 20:05:00",""
"","117","manual",NULL,"3","143","0","","2026-04-09 20:05:00",""
"","118","manual",NULL,"3","134","1","","2026-04-09 20:05:00",""
"","119","manual",NULL,"3","155","1","","2026-04-09 20:05:00",""
