"id","name","brand","model","sn","asset_number","employees","setup_time","maintenance_time","active","comments","area_id","production_status_id","created_at","updated_at","deleted_at"
NULL,"STS Machine","SEIP",NULL,NULL,"S-20",1,15,30.00,1,NULL,4,1,"2026-04-09 20:05:00",NULL,NULL
NULL,"STS Machine","SEIP",NULL,NULL,"S-21",2,15,30.00,1,NULL,4,1,"2026-04-09 20:05:00",NULL,NULL
NULL,"STS Machine","SEIP",NULL,NULL,"S-22",1,15,30.00,1,NULL,4,1,"2026-04-09 20:05:00",NULL,NULL
NULL,"T- Machine","Flexcon",NULL,NULL,"T-01",1,15,30.00,1,NULL,5,1,"2026-04-09 20:05:00",NULL,NULL
NULL,"T- Machine","Flexcon",NULL,NULL,"T-02",1,15,30.00,1,NULL,5,1,"2026-04-09 20:05:00",NULL,NULL
NULL,"T- Machine","Flexcon",NULL,NULL,"T-03",1,15,30.00,1,NULL,5,1,"2026-04-09 20:05:00",NULL,NULL
