"id","standard_id","workstation_type","workstation_id","persons_required","units_per_hour","is_default","notes","created_at","updated_at"
NULL,49,"manual",NULL,2,120,1,NULL,"2026-04-09 20:05:00",NULL
NULL,50,"manual",NULL,2,228,1,NULL,"2026-04-09 20:05:00",NULL
NULL,51,"manual",NULL,1,2500,1,NULL,"2026-04-09 20:05:00",NULL
NULL,51,"manual",NULL,2,0,0,NULL,"2026-04-09 20:05:00",NULL
NULL,52,"manual",NULL,2,149,1,NULL,"2026-04-09 20:05:00",NULL
NULL,53,"manual",NULL,1,225,1,NULL,"2026-04-09 20:05:00",NULL
NULL,53,"manual",NULL,2,166,0,NULL,"2026-04-09 20:05:00",NULL
NULL,54,"manual",NULL,2,149,1,NULL,"2026-04-09 20:05:00",NULL
NULL,55,"manual",NULL,3,135,1,NULL,"2026-04-09 20:05:00",NULL
NULL,56,"manual",NULL,3,150,1,NULL,"2026-04-09 20:05:00",NULL
NULL,57,"manual",NULL,2,195,1,NULL,"2026-04-09 20:05:00",NULL
NULL,57,"manual",NULL,3,150,0,NULL,"2026-04-09 20:05:00",NULL
NULL,58,"manual",NULL,3,125,1,NULL,"2026-04-09 20:05:00",NULL
NULL,59,"manual",NULL,3,161,1,NULL,"2026-04-09 20:05:00",NULL
NULL,60,"manual",NULL,3,135,1,NULL,"2026-04-09 20:05:00",NULL
NULL,61,"manual",NULL,2,125,1,NULL,"2026-04-09 20:05:00",NULL
NULL,61,"manual",NULL,3,130,0,NULL,"2026-04-09 20:05:00",NULL
NULL,62,"manual",NULL,3,128,1,NULL,"2026-04-09 20:05:00",NULL
NULL,63,"manual",NULL,3,154,1,NULL,"2026-04-09 20:05:00",NULL
NULL,64,"manual",NULL,1,781,1,NULL,"2026-04-09 20:05:00",NULL
NULL,64,"manual",NULL,3,131,0,NULL,"2026-04-09 20:05:00",NULL
NULL,65,"manual",NULL,3,115,1,NULL,"2026-04-09 20:05:00",NULL
NULL,66,"manual",NULL,1,189,1,NULL,"2026-04-09 20:05:00",NULL
NULL,66,"manual",NULL,2,233,0,NULL,"2026-04-09 20:05:00",NULL
NULL,67,"manual",NULL,1,173,1,NULL,"2026-04-09 20:05:00",NULL
NULL,67,"manual",NULL,2,151,0,NULL,"2026-04-09 20:05:00",NULL
NULL,68,"manual",NULL,2,185,1,NULL,"2026-04-09 20:05:00",NULL
